MODE_OF_TRANSPORTATION,WEATHER,GEOPOLITICAL_RISKS,ROUTE_OPTIMIZATION,NO_OF_DELIVERED,CUSTUMER_RATING,EFFICIENCY,EFFICIENT,BEST OR NOT
3,1,0,8,46,5,50.771,0,NOT
3,3,1,10,77,3,83.86699999999999,1,BEST
3,2,0,4,92,10,85.21300000000001,1,NOT
3,3,1,1,49,9,46.974999999999994,0,NOT
3,1,1,8,45,7,52.266999999999996,0,NOT
3,3,0,1,72,3,63.940999999999995,0,NOT
1,1,0,6,51,4,53.05,0,NOT
2,2,1,6,42,5,47.913000000000004,0,NOT
1,1,0,2,12,2,13.647,0,NOT
3,4,1,3,79,6,76.137,1,NOT
2,1,0,6,85,1,81.28299999999999,1,NOT
1,4,1,5,74,9,76.17399999999999,1,NOT
3,1,0,3,100,6,89.429,1,NOT
2,2,0,7,90,5,88.15599999999999,1,BEST
1,4,0,1,16,6,18.291,0,NOT
1,2,0,5,51,9,52.742,0,NOT
1,1,0,5,51,1,51.326,0,NOT
2,4,0,8,45,8,53.111,0,NOT
1,4,0,10,77,7,83.86399999999999,1,BEST
1,1,1,8,40,8,49.16,0,NOT
2,4,0,5,82,2,79.728,1,NOT
2,4,1,4,96,8,92.82700000000001,1,NOT
1,1,0,6,26,9,32.105,0,NOT
2,4,1,6,88,5,88.767,1,NOT
3,1,1,6,83,6,81.613,1,NOT
1,3,1,9,8,10,25.128000000000004,0,NOT
1,3,1,9,50,8,60.802,0,NOT
1,2,0,7,48,10,53.251,0,NOT
2,4,1,9,88,9,93.559,1,BEST
2,3,0,2,24,7,25.338,0,NOT
1,1,0,9,85,2,86.38799999999999,1,BEST
1,2,1,9,18,2,32.242000000000004,0,NOT
2,1,1,3,23,5,26.41,0,NOT
2,2,0,2,75,5,67.881,0,NOT
3,1,1,8,81,3,82.67099999999999,1,BEST
1,4,0,3,70,5,67.26899999999999,0,NOT
2,3,1,5,15,3,24.042,0,NOT
3,4,1,1,14,6,17.7,0,NOT
2,3,0,5,16,8,23.078,0,NOT
3,4,0,5,47,3,49.408,0,NOT
3,4,1,8,66,8,72.68,1,BEST
2,4,1,9,26,6,40.44500000000001,0,NOT
1,2,1,10,50,3,61.11,0,NOT
2,3,0,8,14,8,25.860000000000003,0,NOT
3,3,0,8,64,4,67.665,0,BEST
2,2,1,7,81,1,82.372,1,BEST
1,1,1,4,77,2,74.28099999999999,1,NOT
2,4,1,6,96,2,95.36300000000001,1,NOT
1,4,1,2,11,3,17.491,0,NOT
3,1,0,10,52,9,59.185,0,NOT
1,3,1,8,83,7,87.37899999999999,1,BEST
2,3,1,7,24,10,35.243,0,NOT
1,2,1,3,99,4,92.51100000000001,1,NOT
1,4,0,5,23,1,29.866,0,NOT
2,1,0,3,21,7,22.659,0,NOT
2,4,0,4,37,1,39.771,0,NOT
3,3,0,9,85,7,87.30199999999999,1,BEST
3,3,0,7,57,7,60.426,0,NOT
2,4,0,7,53,8,58.43899999999999,0,NOT
1,4,1,7,87,1,89.64699999999999,1,BEST
3,1,0,7,89,9,86.258,1,BEST
2,2,0,1,55,4,49.249,0,NOT
3,3,1,7,69,6,72.783,1,BEST
1,4,1,8,90,8,94.23400000000001,1,BEST
2,2,0,4,59,7,57.376999999999995,0,NOT
2,1,1,7,78,9,79.61299999999999,1,BEST
3,3,0,4,26,5,29.343,0,NOT
3,3,1,6,40,8,46.70199999999999,0,NOT
1,1,0,5,37,10,40.068,0,NOT
2,4,1,2,87,3,81.77799999999999,1,NOT
2,2,0,6,41,1,44.559,0,NOT
1,1,1,3,52,8,51.916,0,NOT
3,3,0,2,31,7,30.767999999999997,0,NOT
2,2,1,9,34,8,45.805,0,NOT
2,4,0,3,61,1,58.747,0,NOT
3,1,1,4,53,5,52.955,0,NOT
3,3,1,2,75,1,70.041,1,NOT
3,4,1,8,69,9,75.315,1,BEST
3,2,1,8,83,8,85.565,1,BEST
2,4,1,2,18,1,22.769,0,NOT
2,3,1,8,80,1,83.823,1,BEST
1,1,1,6,50,8,54.69799999999999,0,NOT
2,3,1,8,76,3,80.563,1,BEST
1,4,1,3,73,2,71.797,1,NOT
2,3,0,3,56,5,53.978,0,NOT
2,4,0,8,83,5,85.29699999999998,1,BEST
2,3,1,7,4,2,17.575,0,NOT
1,3,1,9,44,2,55.227999999999994,0,NOT
2,1,1,7,52,2,56.903000000000006,0,NOT
1,2,1,7,90,2,90.666,1,BEST
2,2,1,6,36,9,43.099,0,NOT
1,1,0,5,99,8,92.802,1,NOT
3,1,0,3,83,5,74.85199999999999,1,NOT
3,4,0,6,42,8,47.019,0,NOT
1,1,1,5,71,2,70.65899999999999,1,NOT
1,2,0,2,5,2,8.484,0,NOT
3,2,1,10,71,9,78.39699999999999,1,BEST
2,4,1,3,36,2,39.695,0,NOT
3,2,1,6,77,2,76.999,1,NOT
1,4,1,9,93,7,98.213,1,BEST
2,1,0,5,39,9,41.157,0,NOT
1,3,1,1,86,1,79.00999999999999,1,NOT
1,4,1,2,2,9,10.27,0,NOT
1,3,1,9,69,1,76.47699999999999,1,BEST
3,1,1,4,25,4,28.994999999999997,0,NOT
3,1,0,3,76,4,68.805,0,NOT
3,3,1,1,51,9,48.681,0,NOT
1,3,0,1,69,4,62.54,0,NOT
3,2,0,3,21,8,23.002,0,NOT
2,4,0,2,44,1,42.75,0,NOT
3,3,0,6,24,7,30.781000000000002,0,NOT
2,3,0,2,47,7,44.95700000000001,0,NOT
1,2,0,5,79,6,76.39800000000001,1,NOT
2,1,0,9,38,4,45.908,0,NOT
1,3,0,2,48,10,46.579,0,NOT
1,2,0,9,22,9,33.989,0,NOT
1,4,1,4,41,10,46.605,0,NOT
1,4,1,3,44,7,47.44,0,NOT
1,3,0,1,21,9,21.976000000000003,0,NOT
2,3,0,10,76,7,81.66199999999999,1,BEST
3,4,0,7,15,1,24.951999999999998,0,NOT
3,4,0,6,17,7,25.618,0,NOT
2,1,0,2,53,10,48.68699999999999,0,NOT
2,1,1,8,67,6,71.498,1,BEST
3,2,1,8,93,4,93.791,1,BEST
2,2,1,2,43,6,42.858000000000004,0,NOT
1,2,0,7,71,6,72.566,1,BEST
2,4,1,5,24,5,32.67900000000001,0,NOT
2,4,0,2,25,6,26.923,0,NOT
2,4,0,8,79,5,81.88499999999999,1,BEST
2,1,1,4,25,8,29.84,0,NOT
2,2,1,1,80,6,72.923,1,NOT
2,3,0,2,47,10,45.185,0,NOT
1,3,1,6,36,6,44.22,0,NOT
2,1,1,7,38,10,45.568999999999996,0,NOT
2,1,0,1,68,1,59.302,0,NOT
2,2,0,3,41,5,40.375,0,NOT
2,1,1,10,100,10,102.943,1,BEST
2,1,0,8,98,1,95.36399999999999,1,BEST
3,1,1,9,57,4,63.771,0,NOT
3,4,0,9,59,4,65.70400000000001,0,NOT
3,2,0,10,38,6,47.82300000000001,0,NOT
1,1,0,6,23,10,29.622,0,NOT
2,1,1,1,47,1,43.586,0,NOT
2,4,1,3,52,7,53.723,0,NOT
2,4,0,6,70,4,71.14,1,NOT
1,1,0,2,11,4,12.946,0,NOT
2,3,0,8,39,9,47.260999999999996,0,NOT
3,4,0,2,9,4,12.581999999999999,0,NOT
2,4,0,1,51,10,47.909,0,NOT
3,4,1,8,2,10,18.240000000000002,0,NOT
2,4,0,7,89,7,89.071,1,BEST
1,2,1,5,77,3,76.66099999999999,1,NOT
2,2,0,10,9,8,23.779,0,NOT
1,3,1,8,94,7,96.762,1,BEST
1,1,1,10,84,7,89.60799999999999,1,BEST
3,2,1,8,31,3,40.829,0,NOT
3,4,1,1,49,8,47.706999999999994,0,NOT
3,2,1,9,79,7,83.573,1,BEST
3,1,1,4,91,10,85.74900000000001,1,NOT
3,2,0,4,68,10,64.741,0,NOT
1,2,0,5,56,9,57.007,0,NOT
2,3,1,10,40,4,52.923,0,NOT
3,1,1,7,67,1,69.08099999999999,0,BEST
2,4,1,9,13,6,29.355999999999998,0,NOT
1,2,0,5,13,8,20.252,0,NOT
3,3,0,9,98,4,98.163,1,BEST
3,1,1,8,28,2,37.386,0,NOT
1,1,0,2,80,6,71.955,1,NOT
2,2,1,2,62,6,59.065,0,NOT
1,2,0,6,67,6,67.658,0,NOT
3,2,1,3,12,10,17.674000000000003,0,NOT
3,4,0,5,75,9,73.748,1,NOT
3,2,0,4,37,5,37.918,0,NOT
2,2,0,7,45,10,50.150999999999996,0,NOT
1,3,0,6,68,4,69.167,0,NOT
1,2,0,1,20,8,20.239,0,NOT
1,4,0,10,24,10,38.883,0,NOT
2,1,1,10,4,7,20.827,0,NOT
1,1,0,9,11,5,23.493999999999996,0,NOT
2,2,0,1,17,8,17.139,0,NOT
2,2,1,1,52,1,48.659,0,NOT
2,4,0,3,99,2,91.23700000000001,1,NOT
3,1,1,9,18,3,30.428,0,NOT
3,2,1,8,48,2,55.254000000000005,0,NOT
2,1,1,1,23,9,23.722,0,NOT
2,1,1,7,21,3,30.536,0,NOT
1,3,0,4,32,1,35.239,0,NOT
3,2,1,10,2,1,18.932000000000002,0,NOT
1,3,0,5,17,3,24.092000000000002,0,NOT
2,4,0,4,46,7,47.903999999999996,0,NOT
3,1,0,4,95,2,86.356,1,NOT
3,3,1,9,2,7,18.7,0,NOT
2,2,1,2,31,6,32.622,0,NOT
2,4,0,7,68,6,71.08200000000001,1,BEST
2,2,0,9,93,8,93.935,1,BEST
3,2,1,2,24,3,25.882000000000005,0,NOT
1,1,1,1,81,6,73.509,1,NOT
1,4,1,9,44,8,56.492,0,NOT
1,2,1,10,95,6,99.723,1,BEST
2,2,0,2,21,1,21.515,0,NOT
1,1,0,10,80,2,83.619,1,BEST
2,4,0,7,92,4,91.402,1,BEST
2,3,0,9,63,9,69.229,0,BEST
3,4,0,3,100,1,91.47299999999998,1,NOT
3,1,0,6,5,9,13.109999999999998,0,NOT
3,2,0,1,8,10,9.072999999999999,0,NOT
3,1,0,6,36,2,39.021,0,NOT
3,1,0,9,37,7,44.742000000000004,0,NOT
1,4,1,10,44,1,57.455999999999996,0,NOT
2,2,1,10,3,2,20.402000000000005,0,NOT
2,1,1,10,30,9,43.157,0,NOT
1,1,1,1,89,3,80.10499999999999,1,NOT
1,1,1,7,49,2,54.885,0,NOT
2,1,1,4,96,3,90.023,1,NOT
1,4,1,2,43,2,44.711000000000006,0,NOT
3,2,1,5,49,4,51.771,0,NOT
3,2,1,2,18,5,20.916,0,NOT
2,3,0,2,9,2,12.162999999999998,0,NOT
3,1,0,2,45,1,40.638,0,NOT
1,1,1,2,11,7,15.370999999999999,0,NOT
1,3,0,9,3,1,17.982000000000003,0,NOT
1,1,1,5,76,10,75.53200000000001,1,NOT
1,3,0,6,3,6,13.873999999999999,0,NOT
1,4,1,5,75,10,77.10300000000001,1,NOT
3,2,0,7,70,8,70.783,1,BEST
3,1,1,7,74,10,75.736,1,BEST
2,4,0,3,96,1,88.602,1,NOT
1,2,0,6,2,8,12.364999999999998,0,NOT
1,2,0,6,80,3,78.51899999999999,1,NOT
2,1,0,5,77,6,73.343,1,NOT
1,4,0,4,78,2,75.36099999999999,1,NOT
1,4,1,10,36,9,51.239999999999995,0,NOT
2,2,1,5,56,9,58.663,0,NOT
3,4,1,3,45,4,46.983000000000004,0,NOT
1,2,0,6,63,10,64.55,0,NOT
2,1,1,1,6,7,9.069,0,NOT
2,4,0,6,23,1,30.820999999999998,0,NOT
3,2,1,3,34,5,36.06,0,NOT
3,3,1,1,48,5,45.818000000000005,0,NOT
2,1,1,6,83,8,82.306,1,NOT
1,1,0,7,67,3,68.118,0,BEST
1,4,0,5,40,3,44.519,0,NOT
3,1,1,6,17,1,24.935,0,NOT
3,2,1,2,25,7,27.038999999999998,0,NOT
2,3,0,4,50,5,50.356,0,NOT
2,4,1,2,18,9,23.377,0,NOT
2,3,1,5,46,8,50.865,0,NOT
2,4,1,1,30,3,31.661,0,NOT
2,2,1,5,51,2,53.866,0,NOT
1,1,1,9,93,1,95.33299999999998,1,BEST
2,3,0,7,20,4,29.177999999999997,0,NOT
3,1,1,5,56,4,56.934000000000005,0,NOT
1,2,1,5,41,2,45.877,0,NOT
1,3,1,8,77,7,82.261,1,BEST
1,1,0,9,31,10,40.934,0,NOT
1,2,0,8,41,9,48.699999999999996,0,NOT
2,4,0,1,24,9,24.802000000000003,0,NOT
1,2,1,9,92,4,95.516,1,BEST
1,1,0,4,53,10,52.21999999999999,0,NOT
3,1,1,9,68,3,73.07799999999999,1,BEST
3,2,1,1,39,5,37.333,0,NOT
3,3,1,3,62,5,60.751999999999995,0,NOT
1,2,0,7,17,1,26.124000000000002,0,NOT
1,2,1,4,43,4,46.239000000000004,0,NOT
2,2,0,7,60,8,62.794,0,NOT
1,3,1,5,71,7,72.65499999999999,1,NOT
1,2,1,7,83,6,84.999,1,BEST
1,2,1,4,98,5,93.22999999999999,1,NOT
1,3,1,3,69,7,67.957,0,NOT
3,1,0,8,71,1,71.79199999999999,1,BEST
3,3,0,9,65,4,70.01400000000001,1,BEST
1,1,0,3,36,4,35.767,0,NOT
3,2,0,6,50,9,52.303,0,NOT
1,1,0,5,100,3,93.27499999999999,1,NOT
3,3,0,4,94,8,87.575,1,NOT
3,2,1,9,19,5,32.241,0,NOT
2,3,1,5,81,10,80.87200000000001,1,NOT
2,1,0,6,38,7,41.647999999999996,0,NOT
3,4,1,5,75,5,75.64099999999999,1,NOT
2,1,1,3,49,6,48.664,0,NOT
2,4,0,3,67,9,64.473,0,NOT
1,3,1,8,94,7,96.762,1,BEST
3,2,1,7,53,9,58.55499999999999,0,NOT
1,4,1,10,69,7,79.237,1,BEST
1,3,0,8,38,4,46.569,0,NOT
2,4,1,1,47,7,46.465999999999994,0,NOT
1,4,1,1,67,4,63.839,0,NOT
3,2,1,10,72,10,79.32600000000001,1,BEST
2,1,1,5,38,10,42.577,0,NOT
2,1,0,10,60,5,66.246,0,NOT
3,3,0,4,95,1,87.89599999999999,1,NOT
3,4,0,3,27,8,29.736,0,NOT
1,3,0,6,28,6,35.199000000000005,0,NOT
1,3,0,4,26,1,30.121000000000002,0,NOT
1,4,1,7,33,4,43.813,0,NOT
2,2,0,9,46,5,53.61600000000001,0,NOT
3,2,1,3,37,7,38.771,0,NOT
3,1,1,3,38,8,38.891999999999996,0,NOT
1,2,1,4,66,5,65.934,0,NOT
2,1,0,1,56,8,49.598,0,NOT
3,4,0,1,3,10,6.4239999999999995,0,NOT
1,4,0,7,11,4,22.849999999999998,0,NOT
3,3,0,10,50,2,58.563,0,NOT
2,1,0,6,92,3,87.40599999999999,1,NOT
3,3,0,9,96,7,96.685,1,BEST
2,4,1,10,20,8,36.975,0,NOT
2,3,1,5,42,10,47.605,0,NOT
2,1,1,7,23,2,32.166,0,NOT
3,2,1,4,73,5,70.823,1,NOT
1,3,0,2,52,9,49.915,0,NOT
1,2,1,10,60,3,69.64,0,NOT
1,3,1,8,53,6,61.713,0,NOT
1,2,1,8,10,10,24.53,0,NOT
2,4,0,9,32,3,43.138,0,NOT
3,2,0,2,31,3,29.656,0,NOT
2,1,0,4,60,1,56.966,0,NOT
3,2,1,7,54,3,58.952,0,NOT
2,4,0,7,32,9,40.602,0,NOT
1,1,1,2,7,7,11.959,0,NOT
2,1,0,7,26,4,32.68000000000001,0,NOT
2,2,0,2,14,1,15.544,0,NOT
1,3,1,7,58,4,64.33,0,NOT
2,2,1,6,60,9,63.571,0,NOT
1,1,1,8,31,3,41.103,0,NOT
3,2,0,3,11,1,13.94,0,NOT
3,2,0,6,97,1,91.78599999999999,1,NOT
3,2,1,10,74,8,80.88000000000001,1,BEST
2,3,1,5,69,9,70.56,1,NOT
1,4,0,7,91,5,91.166,1,BEST
2,3,0,7,98,3,95.63599999999998,1,BEST
1,4,1,8,24,6,37.784000000000006,0,NOT
2,2,0,3,17,4,19.826999999999998,0,NOT
1,4,0,1,32,10,32.243,0,NOT
2,4,0,6,66,8,68.03200000000001,0,NOT
3,2,1,5,10,9,18.884,0,NOT
2,1,1,5,23,2,29.174,0,NOT
1,3,1,8,51,9,60.235,0,NOT
1,2,0,9,65,4,70.28800000000001,1,BEST
3,4,1,2,37,8,38.967,0,NOT
3,4,1,3,90,6,85.52,1,NOT
1,1,1,7,56,8,61.312,0,NOT
3,3,0,10,85,10,89.026,1,BEST
2,4,1,7,84,6,86.927,1,BEST
1,2,0,5,79,7,76.474,1,NOT
2,2,1,10,20,6,35.20700000000001,0,NOT
2,1,0,10,3,10,18.005000000000003,0,NOT
1,3,1,2,92,8,86.156,1,NOT
2,1,0,9,38,3,45.832,0,NOT
2,3,0,4,14,1,19.344,0,NOT
2,4,1,3,58,6,58.765,0,NOT
2,2,1,8,34,9,44.385,0,NOT
1,4,0,1,55,2,51.254,0,NOT
1,3,0,7,38,3,44.99700000000001,0,NOT
2,3,0,7,59,3,62.369,0,NOT
3,3,0,4,31,7,33.75999999999999,0,NOT
2,4,1,4,87,3,84.77,1,NOT
3,2,0,7,52,5,55.201,0,NOT
1,4,1,1,86,2,79.894,1,NOT
2,2,0,5,23,7,28.165000000000003,0,NOT
2,3,1,3,64,8,63.227,0,NOT
1,1,1,5,88,1,85.08399999999999,1,NOT
2,4,0,2,100,9,91.12599999999999,1,NOT
2,3,1,1,41,6,40.464,0,NOT
1,2,1,6,56,4,60.32,0,NOT
1,2,0,3,72,9,67.663,0,NOT
2,3,0,7,88,4,87.18199999999999,1,BEST
1,4,1,9,26,4,40.834,0,NOT
3,3,1,6,92,10,91.21000000000001,1,NOT
3,3,1,8,73,4,77.539,1,BEST
2,2,0,7,92,9,90.166,1,BEST
1,3,1,5,37,3,43.349000000000004,0,NOT
3,3,1,8,16,8,29.222,0,NOT
3,3,1,7,60,5,65.03,0,NOT
3,4,1,6,81,3,82.103,1,NOT
2,3,0,10,34,5,45.684000000000005,0,NOT
1,4,1,3,81,3,78.697,1,NOT
3,4,0,9,1,7,16.458,0,NOT
2,1,0,4,70,8,66.028,0,NOT
2,2,0,7,50,4,53.96,0,NOT
2,1,1,3,50,9,49.745,0,NOT
2,4,1,9,27,8,41.449999999999996,0,NOT
1,4,1,9,11,6,28.191,0,NOT
1,4,0,4,96,8,91.171,1,NOT
2,4,0,4,80,3,76.60199999999999,1,NOT
3,4,1,5,34,10,41.047999999999995,0,NOT
2,4,1,5,15,8,25.23,0,NOT
3,4,0,3,52,7,50.985,0,NOT
1,2,1,5,10,5,19.662,0,NOT
2,3,1,4,66,3,66.04899999999999,0,NOT
2,2,1,2,43,2,42.554,0,NOT
2,4,0,3,63,4,60.681,0,NOT
3,2,0,8,83,1,82.83599999999998,1,BEST
1,3,0,2,77,7,71.088,1,NOT
3,4,0,10,23,4,36.492000000000004,0,NOT
3,2,1,5,6,3,15.016,0,NOT
2,3,0,7,85,7,84.85099999999998,1,BEST
2,1,0,10,87,7,89.42899999999999,1,BEST
3,2,1,6,69,1,70.09899999999999,1,NOT
2,2,1,5,36,7,41.45099999999999,0,NOT
3,4,0,6,84,8,82.845,1,NOT
3,2,0,3,56,8,52.857,0,NOT
3,4,0,8,11,3,23.188000000000002,0,NOT
1,3,0,1,90,1,80.225,1,NOT
2,4,0,2,14,5,17.464,0,NOT
1,2,0,10,22,1,34.877,0,NOT
1,3,0,3,10,8,15.509,0,NOT
2,1,0,6,86,3,82.288,1,NOT
3,3,1,6,28,3,36.086000000000006,0,NOT
1,3,0,3,10,4,15.205,0,NOT
3,4,0,9,76,4,80.20500000000001,1,BEST
2,1,0,3,95,5,85.62899999999999,1,NOT
2,4,0,5,5,1,13.971,0,NOT
3,4,0,8,29,6,38.77,0,NOT
3,2,1,6,43,9,48.528999999999996,0,NOT
2,2,0,8,20,7,30.093999999999998,0,NOT
3,2,1,8,20,4,31.521999999999995,0,NOT
1,2,0,10,19,2,32.394000000000005,0,NOT
3,3,0,7,8,8,18.705000000000002,0,NOT
1,1,0,10,12,2,25.615000000000002,0,NOT
2,4,1,3,86,9,82.87700000000001,1,NOT
2,2,1,7,57,1,61.9,0,NOT
3,4,0,4,98,4,91.491,1,NOT
3,1,1,10,26,6,38.976000000000006,0,NOT
1,4,1,2,50,10,51.29,0,NOT
3,3,0,3,100,10,91.349,1,NOT
3,4,1,8,81,3,85.095,1,BEST
2,1,1,6,35,10,41.513999999999996,0,NOT
1,1,1,2,29,1,30.269,0,NOT
1,1,0,7,73,2,73.16,1,BEST
1,4,0,1,36,6,35.351,0,NOT
1,4,1,10,77,5,85.90899999999999,1,BEST
3,3,1,7,70,10,73.94000000000001,1,BEST
1,4,1,2,12,8,18.724,0,NOT
1,3,0,6,78,9,78.07699999999998,1,NOT
2,1,1,7,9,4,20.375999999999998,0,NOT
3,1,0,1,17,8,15.79,0,NOT
1,4,0,7,73,9,76.116,1,BEST
3,2,1,6,7,1,17.213,0,NOT
1,2,1,10,85,9,91.42099999999999,1,BEST
1,1,0,7,30,5,36.709,0,NOT
3,4,0,10,54,6,63.087,0,NOT
3,2,1,4,71,4,69.041,0,NOT
2,2,1,1,19,5,20.814,0,NOT
2,2,1,4,79,7,76.634,1,NOT
1,2,1,4,71,6,70.27499999999999,1,NOT
1,3,1,4,48,8,51.616,0,NOT
1,3,1,2,79,5,74.839,1,NOT
1,2,0,7,16,4,25.499,0,NOT
2,1,1,4,100,1,93.28299999999999,1,NOT
1,2,0,3,74,8,69.293,0,NOT
2,2,1,2,43,8,43.01,0,NOT
2,4,1,7,37,3,46.608,0,NOT
3,1,0,2,73,8,65.054,0,NOT
2,4,0,5,49,10,52.187,0,NOT
3,1,0,8,69,6,70.46600000000001,1,BEST
3,2,0,7,35,4,40.624,0,NOT
2,3,0,6,69,3,69.40299999999999,0,NOT
2,3,1,10,7,10,25.230000000000004,0,NOT
3,2,0,4,19,3,22.412000000000003,0,NOT
3,4,1,7,73,8,77.155,1,BEST
2,2,1,9,34,1,45.273,0,NOT
3,1,1,5,36,9,40.254,0,NOT
2,1,0,7,100,2,95.64999999999999,1,BEST
1,2,0,10,3,3,18.822000000000003,0,NOT
3,3,1,4,52,7,53.870000000000005,0,NOT
2,2,0,8,95,4,93.841,1,BEST
2,3,1,10,19,4,35.010000000000005,0,NOT
1,2,1,1,39,3,38.263,0,NOT
1,2,0,5,83,9,80.03799999999998,1,NOT
2,1,0,3,89,7,80.663,1,NOT
1,4,0,10,65,8,73.70400000000001,1,BEST
3,4,0,7,48,7,53.557,0,NOT
2,2,1,2,69,6,65.036,0,NOT
3,3,0,8,94,7,93.483,1,BEST
2,3,1,6,74,6,76.093,1,NOT
1,4,0,2,8,2,12.658999999999999,0,NOT
1,1,0,4,14,2,18.345000000000002,0,NOT
1,1,0,3,71,9,66.002,0,NOT
1,4,0,1,83,4,75.28999999999999,1,NOT
2,4,1,5,26,2,34.157000000000004,0,NOT
2,1,0,9,10,10,22.48,0,NOT
1,1,0,1,30,8,27.961000000000002,0,NOT
1,1,1,3,61,10,59.745,0,NOT
3,2,0,10,11,1,24.412,0,NOT
1,3,1,10,100,10,105.10000000000001,1,BEST
2,4,0,6,2,5,13.212,0,NOT
3,2,1,1,48,10,45.39,0,NOT
2,3,1,3,98,9,92.30499999999999,1,NOT
2,4,1,6,2,4,15.333,0,NOT
3,2,1,10,75,9,81.809,1,BEST
1,4,0,8,88,2,89.875,1,BEST
1,3,1,4,31,2,36.659,0,NOT
2,2,0,10,69,10,75.111,1,BEST
1,4,0,7,9,9,21.524,0,NOT
2,3,0,4,28,4,31.514,0,NOT
2,4,1,10,7,8,25.886000000000003,0,NOT
3,4,1,8,95,4,97.113,1,BEST
2,4,0,10,77,4,83.095,1,BEST
2,2,1,4,2,4,10.725,0,NOT
3,1,1,8,100,1,98.72599999999998,1,BEST
2,2,1,1,7,3,10.426,0,NOT
2,3,1,3,64,9,63.303,0,NOT
2,3,0,1,58,9,52.995999999999995,0,NOT
1,4,0,5,97,8,93.52000000000001,1,NOT
1,2,1,6,27,1,35.355,0,NOT
3,4,1,2,46,2,46.188,0,NOT
1,1,0,10,24,9,36.382999999999996,0,NOT
2,3,1,4,20,1,26.659,0,NOT
2,3,0,3,90,6,83.056,1,NOT
3,1,0,9,11,3,22.26,0,NOT
3,4,1,10,93,6,98.551,1,BEST
1,4,0,7,79,6,81.006,1,BEST
2,3,1,2,80,8,75.379,1,NOT
3,3,0,2,6,4,9.215000000000002,0,NOT
1,2,0,6,37,4,41.916,0,NOT
2,1,1,7,30,5,38.365,0,NOT
3,4,0,9,92,7,94.081,1,BEST
2,1,0,4,87,5,80.30099999999999,1,NOT
3,3,0,2,8,2,10.769,0,NOT
3,3,0,4,83,9,78.26799999999999,1,NOT
2,3,1,7,35,2,44.018,0,NOT
1,1,1,3,22,4,26.021999999999995,0,NOT
2,4,1,9,41,9,53.467999999999996,0,NOT
